text,True_Label,Predict_Label
b'nice avi lil nigger',Offensive,Hate Speech
b'get granny longjohns rednecksfor cold bone cold polar vortex sequel dog',Offensive,Neutral
b'jerryspringer raw white trash side applauding',Offensive,Hate Speech
b'shut dirty dirt trap limp knee ashy footed blue ball isolated hamster wheel nipple bitch',Hate Speech,Offensive
b'use call mom jap younger lol asian racial slur',Neutral,Hate Speech
b'remember said uchihas faggot week sasuke reaffirms flying color',Offensive,Hate Speech
b'damn think redskin lost',Neutral,Offensive
b'principle ghetto elementary school doubt finger crossed',Offensive,Neutral
b'free wop',Neutral,Offensive
b'store redneck',Neutral,Offensive
b'timbs straight trash though',Neutral,Offensive
b'noticed guy called jiggaboo',Neutral,Offensive
b'guy maine coon total cuddle bum every one ive ever met super friendly',Neutral,Offensive
b'lrg as nigguh',Hate Speech,Offensive
b'yes retard',Hate Speech,Offensive
b'national review call gay marriage lawlessness oregon tcot gop nom lol teabaggers',Neutral,Offensive
b'hate faggot talk shit block cant respond bitch write letter response',Hate Speech,Offensive
b'favorite episode friend one black mysteriously vanish unemployed white people find affordable ho',Neutral,Hate Speech
b'howard elbow bosh bosh fight back do not got mcbob bird ud',Neutral,Offensive
b'really need take rose colored glass though have got to stop thinking everybody shit good intention',Neutral,Offensive
b'damn whitey youll get kick newest form white privilege',Hate Speech,Offensive
b'via eat ice kevinsmith im eating anything tonight woman pitypussy make better',Offensive,Neutral
b'julius pepper still seems retarded',Offensive,Neutral
b'clan retard',Hate Speech,Offensive
b'okay many people really care see girl nip shirt',Offensive,Neutral
b'get paid chill share wealth lil nicca',Neutral,Offensive
b'whoever  ramlogan uwi business law though racist mudda cunt',Hate Speech,Offensive
b'do not fuck bitch nigga fuck nigga bitch',Hate Speech,Offensive
b'texted you fag',Offensive,Hate Speech
b'retard',Offensive,Hate Speech
b'fuck callin jiggaboo nigga',Hate Speech,Offensive
b'aint fair since like have not wanted go since either reason many nigger',Hate Speech,Offensive
b'gt get past boot camp go active year see really daily liberal pussy',Hate Speech,Offensive
b'look like pretty dyke',Hate Speech,Offensive
b'trash',Offensive,Neutral
b'suck dick taco el negro better',Hate Speech,Offensive
b'terrifying leprechaun',Neutral,Offensive
b'fun getting deported fucking faggot',Offensive,Hate Speech
b'hoe need stop dressing you all kid migos rapper you all fucked lil nigga wanted power ran',Hate Speech,Offensive
b'hispanic church jesus please respond hoe',Offensive,Hate Speech
b'ah smell ready open oven pull sshitty burnt ritz cracker perfect boy lu',Offensive,Neutral
b'mommy said pussy cat inside dawgs house',Neutral,Offensive
b'white trash warfare pt',Hate Speech,Offensive
b'rapeyass uhnot rape bitch nigga see passed drunk ht',Offensive,Hate Speech
b'have got to ghetto fool',Neutral,Offensive
b'wonder career dump  trash like belongs thank pointing true color',Offensive,Neutral
b'stay pooned bitch',Offensive,Hate Speech
b'stfu redneck white trash head as',Offensive,Hate Speech
b'know bout yo wack as dread nigger',Offensive,Hate Speech
b'teacher abuse position there teaching discipline there cunt cunt',Hate Speech,Offensive
b'else expect nigger lover',Hate Speech,Offensive
b'something good im always gon wetback coo',Hate Speech,Offensive
b'eat dat chicken love box baby lovin white woman eatin chicken colored man dream',Neutral,Offensive
b'welfaregovernment aid claimed white people you all black slander trash',Neutral,Hate Speech
b'typical coon activity',Hate Speech,Neutral
b'type special faggot bring chocolate swishers smoke session',Hate Speech,Offensive
b'trash though',Neutral,Offensive
b'slutty as dyke',Offensive,Hate Speech
b'woman shouldnt complain cleaning house amp man always take trash',Neutral,Offensive
b'faggot killed jesuschristgt hello whatever go ahead gaymarriage pharaoh pocketsgt',Offensive,Hate Speech
b'elite call conservative nigger behind closed door tcot teaparty',Hate Speech,Offensive
b'dyke date dyke shit gay you all',Offensive,Hate Speech
b'slightlyadjusted alls nigger  fuck tweet drink pineapple soda day',Hate Speech,Offensive
b'african colored car push niggerous whip',Hate Speech,Offensive
b'last name sinnerfirst name immalike your pancake tha mornin got you covered like aunt jemima',Neutral,Offensive
b'never seen ignorant illiterate piece shit life bring natl guard amp disperse trash',Hate Speech,Offensive
b'stupid redneck animal husbandry mean get hitched blue tick hound misty',Hate Speech,Neutral
